filename,start_sec,duration_sec,role,character,text,gap_after_sec
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-001-NA.mp3,0.500,7.200,NA,NA,営業成績トップなのに、飲み会には呼ばれない——そんな孤独を感じたことはありませんか？,0.818
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-002-NA.mp3,8.518,6.696,NA,NA,この孤立は、優秀さの代償なのか、それともチームワークの失敗なのか？,0.782
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-003-NA.mp3,15.996,9.192,NA,NA,最強の戦士アキレウスの孤独と、アリの群知能研究が明かす、『個と集団のバランス』を見つける8分間。,0.542
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-004-NA.mp3,25.730,12.696,NA,NA,深夜のオフィスビル。最上階の会議室に、一人残って資料を作る影。窓の外には、無数の光が都市の夜景を彩っています。,0.570
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-005-NA.mp3,38.996,16.824,NA,NA,その一室で、今月もトップの成績を上げた営業部のエースが、独りモニターに向かっています。19時、同僚たちが連れ立って居酒屋へ向かう声が聞こえてきました。誰も、彼を誘いませんでした。,0.706
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-006-NA.mp3,56.526,13.272,NA,NA,古代の知恵と現代の悩み。個と集団の永遠の問い。時代を超えた星々を結んで、新しい視座を見つける——ここは、オリオンの会議室。,0.594
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-007-NA.mp3,70.392,16.368,NA,NA,今夜結ぶのは、こんな星座。トロイア戦争最強の戦士アキレウス、「和」を重んじた孔子、民主主義を観察したアレクシ・ド・トクヴィル、集団心理を解明したマクシミリアン・リンゲルマン——,0.702
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-008-NA.mp3,87.462,10.056,NA,NA,英雄と凡人、個人と集団、栄光と孤独。相反する星々が、ひとつの物語を紡ぎ始めます。,0.510
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-009-NA.mp3,98.028,5.136,NA,NA,月曜日の朝礼。先月の成績発表。,0.410
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-010-DL.mp3,103.574,4.008,DL,部長,「今月のMVPは、またしても山田君だ！」,0.680
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-011-NA.mp3,108.262,5.352,NA,NA,拍手。でも、その音がどこか空虚に響く。,0.426
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-012-NA.mp3,114.040,12.288,NA,NA,昼休み。いつものメンバーがランチに出かけていく。山田は誘われない。「どうせ忙しいでしょ？」という配慮なのか、それとも——,0.890
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-013-DL.mp3,127.218,3.624,DL,同僚A,「山田さんって、なんか近寄りがたいよね...」,0.692
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-014-NA.mp3,131.534,13.896,NA,NA,売上グラフは右肩上がり。でも、職場の温度は下がっていく。成功すればするほど、孤立していく。これが「できる人」の宿命なのでしょうか。,0.610
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-015-NA.mp3,146.040,10.080,NA,NA,紀元前8世紀、ホメロスが歌い継いだ『イリアス』。その主人公は、ギリシャ軍最強の戦士アキレウスでした。,0.550
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-016-NA.mp3,156.670,13.152,NA,NA,彼の強さは圧倒的でした。アキレウスが戦場に立てば、トロイア軍は逃げ惑う。彼の槍は百発百中、その戦車は疾風のごとし。,0.578
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-017-NA.mp3,170.400,17.232,NA,NA,しかし——総大将アガメムノンとの確執。アキレウスは怒り、戦線を離脱します。個人の名誉を重んじる彼と、軍の統率を優先する総大将。この対立は避けられませんでした。,0.666
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-018-DL.mp3,188.298,5.520,DL,アキレウス,「私の武勲を認めぬ者たちのために、なぜ戦わねばならぬのか」,0.716
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-019-NA.mp3,194.534,8.280,NA,NA,アキレウスがいなければ、ギリシャ軍は負ける。でも、アキレウスがいれば、軍の和は乱れる。,0.522
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-020-NA.mp3,203.336,9.984,NA,NA,英雄は必要だけれど、英雄は組織を壊す。この矛盾を、ホメロスは2700年前に描いていました。,0.530
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-021-NA.mp3,213.850,13.464,NA,NA,親友パトロクロスの死によって、アキレウスは戦場に戻ります。そして宿敵ヘクトルを討つ。しかし、その勝利は彼に何をもたらしたでしょうか。,0.614
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-022-NA.mp3,227.928,10.680,NA,NA,栄光と引き換えに、彼は人間性を失っていきました。仲間からも神々からも、次第に遠ざかっていく孤独な英雄。,0.554
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-023-NA.mp3,239.162,6.216,NA,NA,一方、古代中国では、まったく違う価値観が育まれていました。,0.466
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-024-NA.mp3,245.844,9.432,NA,NA,孔子は「和を以て貴しと為す」という思想を説きます。個人の突出よりも、集団の調和を重んじる。,0.530
