filename,number,role,character,text
projects/OrionEp5/サウンド類/Narration/OrionEp5-001-NA.mp3,001,NA,NA,朝5時起き、ジム、副業、資格勉強——SNSの「頑張ってる投稿」を見て焦ったことはありませんか？
projects/OrionEp5/サウンド類/Narration/OrionEp5-002-NA.mp3,002,NA,NA,この努力は、成長への道なのか、それとも自分を追い詰める呪縛なのか？
projects/OrionEp5/サウンド類/Narration/OrionEp5-003-NA.mp3,003,NA,NA,無為を説いた老子と、フロー体験を発見した心理学者が示す、『頑張らずに成果を出す』逆説的な知恵を探る8分間。
projects/OrionEp5/サウンド類/Narration/OrionEp5-004-NA.mp3,004,NA,NA,朝6時のオフィス街。すでに歩く人々の姿がちらほら。スマホには自己啓発系インフルエンサーの投稿が流れてきます。
projects/OrionEp5/サウンド類/Narration/OrionEp5-005-NA.mp3,005,NA,NA,「今日も5時起きで朝活！」「休日こそ成長のチャンス！」——そんな言葉を見るたびに、胸の奥がざわつく。
projects/OrionEp5/サウンド類/Narration/OrionEp5-006-NA.mp3,006,NA,NA,頑張っているはずなのに、なぜか前に進んでいない気がする。
projects/OrionEp5/サウンド類/Narration/OrionEp5-007-NA.mp3,007,NA,NA,ようこそ、オリオンの会議室へ。今夜のテーマは「頑張らない技術」。
projects/OrionEp5/サウンド類/Narration/OrionEp5-008-NA.mp3,008,NA,NA,今夜結ぶのは、こんな星座。
projects/OrionEp5/サウンド類/Narration/OrionEp5-009-NA.mp3,009,NA,NA,無為を説いた老子、フロー体験を研究した心理学者チクセントミハイ、情報理論の父クロード・シャノン、そして無常の中に安らぎを見出した鴨長明——
projects/OrionEp5/サウンド類/Narration/OrionEp5-010-NA.mp3,010,NA,NA,時代も大陸も越えた星々が、「努力と成果」という見えない糸で、新しい物語を紡ぎ始めます。
projects/OrionEp5/サウンド類/Narration/OrionEp5-011-NA.mp3,011,NA,NA,月曜日の朝礼。マネージャーの熱い檄が飛びます。
projects/OrionEp5/サウンド類/Narration/OrionEp5-012-DL.mp3,012,DL,マネージャー,「今週もアグレッシсивに！とりあえず動こう！」
projects/OrionEp5/サウンド類/Narration/OrionEp5-013-NA.mp3,013,NA,NA,でも、チームの顔に疲れが見える。先週も、その前も、ずっと「とりあえず動いて」きた。
projects/OrionEp5/サウンド類/Narration/OrionEp5-014-NA.mp3,014,NA,NA,スプリントレビュー、振り返り、そしてまた次のスプリント。アジャイル開発の名の下に、息つく暇もない日々。
